% Model:              doble_barrera_electric_Field.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2025, 12:28
% Table:              Table 8 - Global Evaluation 2
% m                      B0                       E0                       h1                       Integration 1 (meV)
-1                       5                        100000                   60                       5.084171296098863
-1                       5                        100000                   65                       4.872996695188606
-1                       5                        100000                   70                       4.629316710266229
-1                       5                        100000                   75                       4.370832768822973
-1                       5                        100000                   80                       4.126897291344261
-1                       5                        100000                   85                       3.891433315391437
-1                       5                        100000                   90                       3.670872733357248
-1                       5                        100000                   95                       3.4650802765070403
-1                       5                        100000                   100                      3.2754567277992677
-1                       5                        100000                   110                      2.9419127656635773
-1                       5                        100000                   120                      2.655834042435073
-1                       5                        100000                   130                      2.4139361102937404
-1                       5                        100000                   140                      2.2061907404581
-1                       5                        100000                   150                      2.0268758340019324
-1                       5                        100000                   160                      1.8733291323361754
-1                       5                        100000                   170                      1.7379232944506522
-1                       5                        100000                   180                      1.6174268950867217
-1                       5                        100000                   190                      1.5131793998753371
-1                       5                        100000                   200                      1.4205315069091433
-1                       10                       0                        2                        9.424035932133332
-1                       10                       0                        3                        9.102744038534073
-1                       10                       0                        4                        9.102882899471304
-1                       10                       0                        5                        8.875941801862691
-1                       10                       0                        6                        8.931559574913399
-1                       10                       0                        7                        8.785838948711284
-1                       10                       0                        8                        8.751811309951131
-1                       10                       0                        9                        8.841220678164062
-1                       10                       0                        10                       8.824508567592527
-1                       10                       0                        15                       8.814359160986898
-1                       10                       0                        20                       8.739377535548893
-1                       10                       0                        25                       8.660184372675236
-1                       10                       0                        30                       8.522489432539842
-1                       10                       0                        35                       8.339307126993052
-1                       10                       0                        40                       8.096902110062942
-1                       10                       0                        45                       7.799920370503511
-1                       10                       0                        50                       7.468647326078602
-1                       10                       0                        55                       7.080376227505185
-1                       10                       0                        60                       6.668037052082342
-1                       10                       0                        65                       6.255079684499562
-1                       10                       0                        70                       5.828309994101823
-1                       10                       0                        75                       5.426358605765592
-1                       10                       0                        80                       5.060361056584382
-1                       10                       0                        85                       4.718754114877339
-1                       10                       0                        90                       4.409425142289955
-1                       10                       0                        95                       4.133957752923415
-1                       10                       0                        100                      3.887784394236533
-1                       10                       0                        110                      3.4673802838337
-1                       10                       0                        120                      3.1300486512153394
-1                       10                       0                        130                      2.851279419212497
-1                       10                       0                        140                      2.6208974083199346
-1                       10                       0                        150                      2.4212164919903345
-1                       10                       0                        160                      2.251769543715664
-1                       10                       0                        170                      2.102394727957425
-1                       10                       0                        180                      1.9701022362871177
-1                       10                       0                        190                      1.8545335520382202
-1                       10                       0                        200                      1.7515327186567848
-1                       10                       1000                     2                        9.424036196655114
-1                       10                       1000                     3                        9.102745072099909
-1                       10                       1000                     4                        9.102887298721658
-1                       10                       1000                     5                        8.875950888894991
-1                       10                       1000                     6                        8.931559589567101
-1                       10                       1000                     7                        8.785838942808374
-1                       10                       1000                     8                        8.75181130211694
-1                       10                       1000                     9                        8.841220670062446
-1                       10                       1000                     10                       8.824508560012335
-1                       10                       1000                     15                       8.814348977674722
