% m,B0,E0,h1,Integration_1_meV
-1,5,-10000000,9.5,5.510675014798612
-1,5,-10000000,10,5.50967265518837
-1,5,-10000000,10.5,5.509448478831507
-1,5,-10000000,11,5.510033745327062
-1,5,-10000000,11.5,5.511453167772756
-1,5,-10000000,12,5.513715470181463
-1,5,-5000000,0.1,6.2826601821917
-1,5,-5000000,0.30000000000000004,6.226502709430443
-1,5,-5000000,0.5,6.164298511018182
-1,5,-5000000,0.7000000000000001,6.10066219272033
-1,5,-5000000,0.9,6.039384070730297
-1,5,-5000000,1.1,5.982441252025608
-1,5,-5000000,1.3000000000000003,5.930418293139401
-1,5,-5000000,1.5000000000000002,5.883289543627204
-1,5,-5000000,1.7000000000000002,5.840856839402564
-1,5,-5000000,1.9000000000000001,5.802878295181577
-1,5,-5000000,2.1,5.7690800151871375
-1,5,-5000000,2.3000000000000003,5.739153360988716
-1,5,-5000000,2.5000000000000004,5.712761152555689
-1,5,-5000000,2.7,5.689552298415358
-1,5,-5000000,2.9000000000000004,5.66917823589477
-1,5,-5000000,3.1,5.651305732915952
-1,5,-5000000,3.3000000000000003,5.635625884791199
-1,5,-5000000,3.5000000000000004,5.621858850278425
-1,5,-5000000,3.7,5.609755453983112
-1,5,-5000000,3.9000000000000004,5.599096603053102
-1,5,-5000000,4.5,5.574003719031377
-1,5,-5000000,5,5.558954134692308
-1,5,-5000000,5.5,5.547615074188572
-1,5,-5000000,6,5.5389758329045975
-1,5,-5000000,6.5,5.532345622717262
-1,5,-5000000,7,5.527248797520584
-1,5,-5000000,7.5,5.523354756820882
-1,5,-5000000,8,5.520431101762178
-1,5,-5000000,8.5,5.518312131370381
-1,5,-5000000,9,5.516877515829654
-1,5,-5000000,9.5,5.5160378410146205
-1,5,-5000000,10,5.515724895198041
-1,5,-5000000,10.5,5.515885261817383
-1,5,-5000000,11,5.516476188098676
-1,5,-5000000,11.5,5.517462937573732
-1,5,-5000000,12,5.51881700446444
-1,5,0,0.1,6.179389823331794
-1,5,0,0.30000000000000004,6.133442402645463
-1,5,0,0.5,6.086103385063258
-1,5,0,0.7000000000000001,6.0383184344607415
-1,5,0,0.9,5.990956306956977
-1,5,0,1.1,5.944850273148969
-1,5,0,1.3000000000000003,5.9007627670292395
-1,5,0,1.5000000000000002,5.8593275727293355
-1,5,0,1.7000000000000002,5.820998542751816
-1,5,0,1.9000000000000001,5.786032531277652
-1,5,0,2.1,5.754499398490458
-1,5,0,2.3000000000000003,5.7263194700734985
-1,5,0,2.5000000000000004,5.701307671684341
-1,5,0,2.7,5.679215144272283
-1,5,0,2.9000000000000004,5.659763059308372
-1,5,0,3.1,5.642667052727449
-1,5,0,3.3000000000000003,5.627653171839409
-1,5,0,3.5000000000000004,5.614467074806423
-1,5,0,3.7,5.6028785505902805
-1,5,0,3.9000000000000004,5.592682837865068
-1,5,0,4.5,5.568767085810395
-1,5,0,5,5.554547852768159
-1,5,0,5.5,5.543961525456531
-1,5,0,6,5.53602187241349
-1,5,0,6.5,5.530043664984967
-1,5,0,7,5.525543235600168
-1,5,0,7.5,5.522172198426179
-1,5,0,8,5.519674039243529
-1,5,0,8.5,5.517855428505391
-1,5,0,9,5.516567875556766
-1,5,0,9.5,5.515695361549424
-1,5,0,10,5.515146209694979
-1,5,0,10.5,5.514847725307273
-1,5,0,11,5.5147418412853355
-1,5,0,11.5,5.5147828554829
-1,5,0,12,5.514934184284317
-1,5,5000000,0.1,6.08143723534984
-1,5,5000000,0.30000000000000004,6.063701134768104
-1,5,5000000,0.5,6.035885241295832
-1,5,5000000,0.7000000000000001,6.000911921321178
-1,5,5000000,0.9,5.961696748276138
-1,5,5000000,1.1,5.920715525686112
-1,5,5000000,1.3000000000000003,5.879883593269454
-1,5,5000000,1.5000000000000002,5.840575511200675
-1,5,5000000,1.7000000000000002,5.803696796258146
-1,5,5000000,1.9000000000000001,5.769768423954793
-1,5,5000000,2.1,5.739012833631354
-1,5,5000000,2.3000000000000003,5.7114399838236265
-1,5,5000000,2.5000000000000004,5.686918002301684
-1,5,5000000,2.7,5.665231063201632
-1,5,5000000,2.9000000000000004,5.646121903029939
-1,5,5000000,3.1,5.6293210062803585
-1,5,5000000,3.3000000000000003,5.614565163090746
-1,5,5000000,3.5000000000000004,5.601608220367141
-1,5,5000000,3.7,5.590226549395492
-1,5,5000000,3.9000000000000004,5.580220516392757
-1,5,5000000,4.5,5.556811642598944
-1,5,5000000,5,5.542988761017914
-1,5,5000000,5.5,5.5328109455262995
-1,5,5000000,6,5.525314249000053
-1,5,5000000,6.5,5.519827062836844
-1,5,5000000,7,5.515872908083696
-1,5,5000000,7.5,5.513105836573423
-1,5,5000000,8,5.511268898420383
-1,5,5000000,8.5,5.510167702704785
-1,5,5000000,9,5.50965385370777
-1,5,5000000,9.5,5.509614507113632
-1,5,5000000,10,5.509965476622096
-1,5,5000000,10.5,5.510646200037767
-1,5,5000000,11,5.511615862013254
-1,5,5000000,11.5,5.512847996984413
-1,5,5000000,12,5.514329890912324
-1,5,10000000,0.1,5.873192549664864
-1,5,10000000,0.30000000000000004,5.905675382215947
-1,5,10000000,0.5,5.933268820885571
-1,5,10000000,0.7000000000000001,5.942165369165874
-1,5,10000000,0.9,5.927445789453994
-1,5,10000000,1.1,5.896448135777
-1,5,10000000,1.3000000000000003,5.858417793899092
-1,5,10000000,1.5000000000000002,5.819028371554974
-1,5,10000000,1.7000000000000002,5.78101720880253
-1,5,10000000,1.9000000000000001,5.745574997461531
-1,5,10000000,2.1,5.713147070900993
-1,5,10000000,2.3000000000000003,5.683797795280273
-1,5,10000000,2.5000000000000004,5.657391890297745
-1,5,10000000,2.7,5.633688745325995
-1,5,10000000,2.9000000000000004,5.612404962741098
-1,5,10000000,3.1,5.593234091524973
-1,5,10000000,3.3000000000000003,5.575881917402499
-1,5,10000000,3.5000000000000004,5.560066767426882
-1,5,10000000,3.7,5.545527444448296
-1,5,10000000,3.9000000000000004,5.532023799731282
-1,5,10000000,4.5,5.495609405682246
-1,5,10000000,5,5.467207521880815
-1,5,10000000,5.5,5.437832484180218
-1,5,10000000,6,5.4051305726373915
-1,5,10000000,6.5,5.3670387211213155
-1,5,10000000,7,5.322270451732926
-1,5,10000000,7.5,5.271065757770265
-1,5,10000000,8,5.215469280393634
-1,5,10000000,8.5,5.1583852469826565
-1,5,10000000,9,5.102066319355382
-1,5,10000000,9.5,5.047407788769996
-1,5,10000000,10,4.994289137303157
-1,5,10000000,10.5,4.9421938439806175
-1,5,10000000,11,4.8906077512542705
-1,5,10000000,11.5,4.8391673617864175
-1,5,10000000,12,4.787673915885646
-1,10,-10000000,0.1,8.501317901427205
-1,10,-10000000,0.30000000000000004,8.514152681046886
-1,10,-10000000,0.5,8.571030196655629
-1,10,-10000000,0.7000000000000001,8.700670613035378
-1,10,-10000000,0.9,8.926605430122635
-1,10,-10000000,1.1,9.195191304487281
-1,10,-10000000,1.3000000000000003,9.355129886610372
-1,10,-10000000,1.5000000000000002,9.375191597659253
-1,10,-10000000,1.7000000000000002,9.332426530931674
-1,10,-10000000,1.9000000000000001,9.274215497442873
-1,10,-10000000,2.1,9.216379303826207
-1,10,-10000000,2.3000000000000003,9.163269161680555
-1,10,-10000000,2.5000000000000004,9.115757798544658
-1,10,-10000000,2.7,9.073665308336537
-1,10,-10000000,2.9000000000000004,9.036498442805916
-1,10,-10000000,3.1,9.003692932939439
-1,10,-10000000,3.3000000000000003,8.974699021887886
-1,10,-10000000,3.5000000000000004,8.949012274442184
-1,10,-10000000,3.7,8.926183128777733
-1,10,-10000000,3.9000000000000004,8.905817451071663
-1,10,-10000000,4.5,8.856310525353765
-1,10,-10000000,5,8.824730876287628
-1,10,-10000000,5.5,8.799090423529604
-1,10,-10000000,6,8.77762082937141
-1,10,-10000000,6.5,8.759131444172318
-1,10,-10000000,7,8.74282985790259
-1,10,-10000000,7.5,8.728200418600318
-1,10,-10000000,8,8.714923907691313
-1,10,-10000000,8.5,8.70282177540209
-1,10,-10000000,9,8.691813161010218
-1,10,-10000000,9.5,8.681879429534852
-1,10,-10000000,10,8.673031696678185
-1,10,-10000000,10.5,8.665279837228418
-1,10,-10000000,11,8.65860333019921
-1,10,-10000000,11.5,8.652925471444325
-1,10,-10000000,12,8.648093622441214
-1,10,-5000000,0.1,9.688696228357665
-1,10,-5000000,0.30000000000000004,9.704243201925026
-1,10,-5000000,0.5,9.691384431505343
-1,10,-5000000,0.7000000000000001,9.649310944190091
-1,10,-5000000,0.9,9.58632580738512
-1,10,-5000000,1.1,9.513280043479448
-1,10,-5000000,1.3000000000000003,9.438294954892502
-1,10,-5000000,1.5000000000000002,9.36599636398521
-1,10,-5000000,1.7000000000000002,9.298628619171021
-1,10,-5000000,1.9000000000000001,9.237111374904421
-1,10,-5000000,2.1,9.181660055149235
-1,10,-5000000,2.3000000000000003,9.132109487992558
-1,10,-5000000,2.5000000000000004,9.088088551758483
-1,10,-5000000,2.7,9.049123108128788
-1,10,-5000000,2.9000000000000004,9.014700509162694
-1,10,-5000000,3.1,8.984310230772294
-1,10,-5000000,3.3000000000000003,8.957468291007281
-1,10,-5000000,3.5000000000000004,8.93373047625658
-1,10,-5000000,3.7,8.912698048237903
-1,10,-5000000,3.9000000000000004,8.894018645166337
-1,10,-5000000,4.5,8.849219315028645
-1,10,-5000000,5,8.821487759630884
-1,10,-5000000,5.5,8.799870320622723
-1,10,-5000000,6,8.782738195081762
-1,10,-5000000,6.5,8.76898099147403
-1,10,-5000000,7,8.757833503621216
-1,10,-5000000,7.5,8.748756144619515
-1,10,-5000000,8,8.741363306071502
-1,10,-5000000,8.5,8.735359022336308
-1,10,-5000000,9,8.730512005989723
-1,10,-5000000,9.5,8.726623327186923
-1,10,-5000000,10,8.723514436977245
-1,10,-5000000,10.5,8.721016834989475
-1,10,-5000000,11,8.718966716809208
-1,10,-5000000,11.5,8.717201375985006
-1,10,-5000000,12,8.715558732838616
-1,10,0,0.1,9.800741835212463
-1,10,0,0.30000000000000004,9.738179947761804
-1,10,0,0.5,9.669402680962792
-1,10,0,0.7000000000000001,9.59697783524246
-1,10,0,0.9,9.523243707384587
-1,10,0,1.1,9.450270500662151
-1,10,0,1.3000000000000003,9.379772391521273
-1,10,0,1.5000000000000002,9.313066001628977
-1,10,0,1.7000000000000002,9.251057638324863
-1,10,0,1.9000000000000001,9.194263510260118
-1,10,0,2.1,9.142862996519321
-1,10,0,2.3000000000000003,9.096773083724583
-1,10,0,2.5000000000000004,9.05572774157596
-1,10,0,2.7,9.019349296888413
-1,10,0,2.9000000000000004,8.987205366324307
-1,10,0,3.1,8.958849865283915
-1,10,0,3.3000000000000003,8.93384996057174
-1,10,0,3.5000000000000004,8.911801985880139
-1,10,0,3.7,8.89233943165598
-1,10,0,3.9000000000000004,8.875135639699293
-1,10,0,4.5,8.834383123169903
-1,10,0,5,8.809770631098104
-1,10,0,5.5,8.791157160696214
-1,10,0,6,8.77695364428212
-1,10,0,6.5,8.766043609865754
-1,10,0,7,8.757623067940488
-1,10,0,7.5,8.751095015045596
-1,10,0,8,8.746001664043217
-1,10,0,8.5,8.741981769945827
-1,10,0,9,8.738744160702707
-1,10,0,9.5,8.736051353806113
-1,10,0,10,8.73370912844603
-1,10,0,10.5,8.731559374775594
-1,10,0,11,8.72947461382068
-1,10,0,11.5,8.727353328844718
-1,10,0,12,8.725115737445172
-1,10,5000000,0.1,9.457907390939694
-1,10,5000000,0.30000000000000004,9.48936607801042
-1,10,5000000,0.5,9.487124876692732
-1,10,5000000,0.7000000000000001,9.459040076222132
-1,10,5000000,0.9,9.413846019823945
-1,10,5000000,1.1,9.358999837794476
-1,10,5000000,1.3000000000000003,9.300096326406292
-1,10,5000000,1.5000000000000002,9.240996415550253
-1,10,5000000,1.7000000000000002,9.184178732281827
-1,10,5000000,1.9000000000000001,9.131097901760326
-1,10,5000000,2.1,9.082484857641623
-1,10,5000000,2.3000000000000003,9.038581418050418
-1,10,5000000,2.5000000000000004,8.999316160671063
-1,10,5000000,2.7,8.96443172701423
-1,10,5000000,2.9000000000000004,8.933573139685148
-1,10,5000000,3.1,8.906346629691956
-1,10,5000000,3.3000000000000003,8.882356501117904
-1,10,5000000,3.5000000000000004,8.861226703972333
-1,10,5000000,3.7,8.842612123074835
-1,10,5000000,3.9000000000000004,8.826203193128432
-1,10,5000000,4.5,8.787645141207546
-1,10,5000000,5,8.76478185146209
-1,10,5000000,5.5,8.747949579061963
-1,10,5000000,6,8.735615780755383
-1,10,5000000,6.5,8.726690316288936
-1,10,5000000,7,8.720371690329959
-1,10,5000000,7.5,8.716047796495268
-1,10,5000000,8,8.713234489706162
-1,10,5000000,8.5,8.711539243819603
-1,10,5000000,9,8.71064056544919
-1,10,5000000,9.5,8.710275635737691
-1,10,5000000,10,8.710232567847985
-1,10,5000000,10.5,8.71034250934442
-1,10,5000000,11,8.7104716766341
-1,10,5000000,11.5,8.710512291722699
-1,10,5000000,12,8.710372834702019
-1,10,10000000,0.1,8.443122121463318
-1,10,10000000,0.30000000000000004,8.625950314139585
-1,10,10000000,0.5,8.842494872732884
-1,10,10000000,0.7000000000000001,9.03398148237452
-1,10,10000000,0.9,9.145354054574225
-1,10,10000000,1.1,9.17686786732556
-1,10,10000000,1.3000000000000003,9.159222703103453
-1,10,10000000,1.5000000000000002,9.11815814204279
-1,10,10000000,1.7000000000000002,9.06808217181733
-1,10,10000000,1.9000000000000001,9.016101437743425
-1,10,10000000,2.1,8.965546480035474
-1,10,10000000,2.3000000000000003,8.917861014891093
-1,10,10000000,2.5000000000000004,8.873531050813137
-1,10,10000000,2.7,8.832548786012218
-1,10,10000000,2.9000000000000004,8.794654406654542
-1,10,10000000,3.1,8.759466490217994
-1,10,10000000,3.3000000000000003,8.726553357831996
-1,10,10000000,3.5000000000000004,8.69547122199022
-1,10,10000000,3.7,8.665783404388355
-1,10,10000000,3.9000000000000004,8.637068405634206
-1,10,10000000,4.5,8.552784081593686
-1,10,10000000,5,8.47904994260715
-1,10,10000000,5.5,8.395951696454333
-1,10,10000000,6,8.297718346873259
-1,10,10000000,6.5,8.179253585954434
-1,10,10000000,7,8.03800140866299
-1,10,10000000,7.5,7.876517968755122
-1,10,10000000,8,7.703248290712405
-1,10,10000000,8.5,7.529126355262757
-1,10,10000000,9,7.362310018917649
-1,10,10000000,9.5,7.205883127853006
-1,10,10000000,10,7.059218945619446
-1,10,10000000,10.5,6.920262710236986
-1,10,10000000,11,6.786968484313599
-1,10,10000000,11.5,6.657819194785946
-1,10,10000000,12,6.531865133184005
-1,20,-10000000,0.1,10.560191501855504
-1,20,-10000000,0.30000000000000004,10.616760708366053
-1,20,-10000000,0.5,10.771032703676418
-1,20,-10000000,0.7000000000000001,11.103745398157555
-1,20,-10000000,0.9,11.741999696703024
-1,20,-10000000,1.1,12.736850809895088
-1,20,-10000000,1.3000000000000003,13.716183526464338
-1,20,-10000000,1.5000000000000002,14.252213073735508
-1,20,-10000000,1.7000000000000002,14.441542926016506
-1,20,-10000000,1.9000000000000001,14.480561294943085
-1,20,-10000000,2.1,14.463288635917518
-1,20,-10000000,2.3000000000000003,14.42556097707608
-1,20,-10000000,2.5000000000000004,14.381182075876518
-1,20,-10000000,2.7,14.335753735460424
-1,20,-10000000,2.9000000000000004,14.291604856810284
-1,20,-10000000,3.1,14.249652975156703
-1,20,-10000000,3.3000000000000003,14.210170291429009
-1,20,-10000000,3.5000000000000004,14.173126197486264
-1,20,-10000000,3.7,14.138351076167279
-1,20,-10000000,3.9000000000000004,14.10561829456896
-1,20,-10000000,4.5,14.017297415620932
-1,20,-10000000,5,13.951879901426375
-1,20,-10000000,5.5,13.891155316455732
-1,20,-10000000,6,13.833303374418858
-1,20,-10000000,6.5,13.777047252071327
-1,20,-10000000,7,13.721502224618392
-1,20,-10000000,7.5,13.666061585129292
-1,20,-10000000,8,13.61031266857258
-1,20,-10000000,8.5,13.553972363100547
-1,20,-10000000,9,13.496833549256984
-1,20,-10000000,9.5,13.438717068881935
-1,20,-10000000,10,13.379427028723933
-1,20,-10000000,10.5,13.318710201005237
-1,20,-10000000,11,13.256222711359996
-1,20,-10000000,11.5,13.19150865943675
-1,20,-10000000,12,13.12399531560488
-1,20,-5000000,0.1,13.77774732422642
-1,20,-5000000,0.30000000000000004,14.095039758641759
-1,20,-5000000,0.5,14.372299691881846
-1,20,-5000000,0.7000000000000001,14.565009278053626
-1,20,-5000000,0.9,14.664255756832494
-1,20,-5000000,1.1,14.691223299497645
-1,20,-5000000,1.3000000000000003,14.67346456165982
-1,20,-5000000,1.5000000000000002,14.63181326207249
-1,20,-5000000,1.7000000000000002,14.579082186536196
-1,20,-5000000,1.9000000000000001,14.522526679923688
-1,20,-5000000,2.1,14.466112961399682
-1,20,-5000000,2.3000000000000003,14.411932681966627
-1,20,-5000000,2.5000000000000004,14.361002242884968
-1,20,-5000000,2.7,14.313715496102171
-1,20,-5000000,2.9000000000000004,14.270108159733592
-1,20,-5000000,3.1,14.23001726550332
-1,20,-5000000,3.3000000000000003,14.19317858787952
-1,20,-5000000,3.5000000000000004,14.159285871265075
-1,20,-5000000,3.7,14.128025988239354
-1,20,-5000000,3.9000000000000004,14.099098823284825
-1,20,-5000000,4.5,14.023684778352104
-1,20,-5000000,5,13.970722672683445
-1,20,-5000000,5.5,13.924154318142714
-1,20,-5000000,6,13.882326404140144
-1,20,-5000000,6.5,13.84408375926417
-1,20,-5000000,7,13.808591690142567
-1,20,-5000000,7.5,13.775208329526354
-1,20,-5000000,8,13.743395403404762
-1,20,-5000000,8.5,13.712657181615985
-1,20,-5000000,9,13.682500361193757
-1,20,-5000000,9.5,13.652409990475151
-1,20,-5000000,10,13.621837850936709
-1,20,-5000000,10.5,13.590200274793817
-1,20,-5000000,11,13.556882591018837
-1,20,-5000000,11.5,13.521247688275041
-1,20,-5000000,12,13.482646713364202
-1,20,0,0.1,14.817914282584843
-1,20,0,0.30000000000000004,14.82083156026545
-1,20,0,0.5,14.804575918904922
-1,20,0,0.7000000000000001,14.772337214051705
-1,20,0,0.9,14.727825054855872
-1,20,0,1.1,14.674785837031735
-1,20,0,1.3000000000000003,14.61666319620789
-1,20,0,1.5000000000000002,14.556410153955346
-1,20,0,1.7000000000000002,14.496374955628283
